gene_id,ERR188044,ERR188104,ERR188234,ERR188245,ERR188257,ERR188273,ERR188337,ERR188383,ERR188401,ERR188428,ERR188454,ERR204916
NM_001143981,18,0,12,0,12,0,35,10,0,16,0,0
NM_001143982,0,0,0,0,0,0,0,0,0,0,0,0
NM_001143983,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.369,12,17,3,10,3,1,23,3,9,5,7,15
MSTRG.368,115,89,173,130,370,29,309,277,128,107,169,145
MSTRG.367,1033,959,958,656,557,371,861,513,1102,456,756,642
MSTRG.366,1573,1613,1685,1234,1296,456,1846,1134,1843,866,1594,1397
MSTRG.365,0,1,0,0,0,0,0,0,0,0,0,0
MSTRG.364,0,1,0,0,0,0,0,0,0,0,0,0
MSTRG.363,53,4,4,3,4,2,2,4,3,2,0,1
MSTRG.362,10442,9177,10553,8996,6608,3860,8193,6437,10055,5044,8431,7462
MSTRG.361,216,274,176,78,134,55,231,204,223,137,318,136
MSTRG.360,909,1285,1462,722,802,484,1376,725,1564,0,912,927
MSTRG.699,158,175,0,133,198,75,219,148,174,104,117,135
MSTRG.698,57,52,77,23,44,19,112,48,58,66,44,38
MSTRG.697,798,655,810,289,594,253,1219,539,971,424,489,460
MSTRG.696,587,602,567,274,452,114,917,367,382,431,356,319
MSTRG.695,1223,1231,1147,534,1044,275,1913,910,1473,881,799,834
NM_205856,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.693,54,67,31,10,22,7,84,29,59,34,45,30
MSTRG.692,68,99,59,25,41,13,115,42,111,49,65,54
MSTRG.691,3,2,0,0,0,0,14,0,3,1,0,0
MSTRG.690,70,130,101,37,116,26,154,79,54,66,86,102
NM_001031705,0,0,0,0,0,0,0,0,0,0,0,0
NM_153834,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.1017,3658,2678,3934,2882,2427,1449,2776,2230,3118,1940,2914,2448
MSTRG.1016,96,47,81,52,70,50,93,59,81,48,63,36
MSTRG.1015,1463,1420,1639,1140,1313,613,1644,1103,1799,780,1283,1455
MSTRG.1014,1298,1243,1024,684,770,857,700,794,1298,438,800,1149
MSTRG.1013,169,146,216,119,115,74,126,90,175,96,134,100
NM_001032726,0,4,7,0,0,0,0,0,6,4,7,0
MSTRG.1011,44784,39794,48769,28467,28187,15378,33087,22380,36623,37332,26211,35558
NM_016267,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.1019,3451,3077,3717,2760,2768,1461,2890,2239,4722,1440,2776,3137
MSTRG.1018,6073,5057,5951,4127,4270,2239,5536,3670,7007,3291,4818,4303
MSTRG.965,577,341,541,206,358,283,447,505,293,335,304,264
MSTRG.964,32,32,52,32,28,32,68,20,42,21,11,47
MSTRG.967,4061,1703,2543,2477,1655,1138,1800,1687,2117,1312,2395,1899
MSTRG.966,3566,3354,3747,2072,2681,1514,3931,2842,3804,2175,3150,2863
MSTRG.961,4,10,3,2,5,0,6,3,8,3,1,3
MSTRG.960,0,1,6,0,2,0,13,3,10,1,5,2
MSTRG.963,399,511,418,364,488,181,502,504,723,330,369,346
MSTRG.962,4,5,3,1,7,0,12,6,19,6,4,15
MSTRG.969,3103,2959,4140,2628,3017,1241,3536,3274,2677,2123,2984,2270
NM_001174068,0,0,0,0,0,0,0,0,0,0,0,0
NM_001118885,0,0,0,0,0,0,0,0,0,0,0,0
NM_001118886,0,0,0,0,0,0,0,0,0,0,0,0
NM_003918,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.89,5555,3157,4001,2373,4132,2764,4825,5524,6411,4217,3942,2846
MSTRG.88,4472,6987,8845,6044,5535,1941,9636,5139,7332,8111,7575,7140
MSTRG.85,471,754,622,526,590,203,582,756,1378,468,761,723
MSTRG.84,39,21,45,39,21,7,36,27,39,23,34,14
MSTRG.87,8,44,16,22,35,9,47,69,108,33,12,62
MSTRG.86,4335,6738,5800,3658,4765,1920,5831,4904,6325,3014,4422,5212
MSTRG.81,633,1113,803,564,706,334,657,456,827,571,602,975
MSTRG.80,16,51,12,16,45,16,53,77,133,48,32,50
MSTRG.83,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.82,0,0,0,0,0,0,0,0,0,0,0,0
NR_031725,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291535,0,0,0,0,0,0,0,0,0,0,0,0
NM_000808,0,0,0,0,0,0,0,0,0,0,0,0
NM_001042506,0,0,0,0,0,0,2,0,0,0,0,0
NM_001141920,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.694,150,172,71,85,91,21,287,60,137,70,83,66
NM_001171020,0,0,0,0,0,0,0,0,0,0,0,0
NM_001139501,0,0,0,0,0,0,0,0,0,0,0,1
NM_001139500,0,0,0,0,0,0,0,0,0,0,0,0
NM_001139502,0,0,0,0,0,0,0,0,0,0,0,0
NM_001145139,0,0,0,0,0,0,0,0,0,0,0,0
NM_001166400,3,0,0,4,0,0,0,0,6,0,0,0
NM_001166401,0,0,0,0,4,0,0,0,0,0,0,0
NM_207339,0,0,0,6,0,0,0,0,0,0,0,0
NM_006307,3,0,7,8,15,0,11,3,23,3,16,4
MSTRG.707,754,1133,856,691,708,404,978,801,970,560,867,1087
NM_001011548,0,0,0,0,0,0,0,0,0,0,0,0
