baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MSTRG.917	3680.9797994981	-0.469897585034151	0.0780424322593663	-6.02105254065497	1.73286492076209e-09	1.55957842868588e-06
MSTRG.452	25.9671973284807	2.31099983423669	0.405601558558997	5.69770945271292	1.21427757260003e-08	5.46424907670012e-06
MSTRG.184	5950.25619870689	1.10271106308851	0.199872501714735	5.51707240179709	3.44693453700473e-08	1.03408036110142e-05
NM_002025	24.4996181801366	-1.91975906421045	0.401600248832442	-4.78027359243849	1.7505680176199e-06	0.000262585202642985
MSTRG.1038	913.333214488898	-1.23503293732969	0.256890723366605	-4.80761983595334	1.52737863898542e-06	0.000262585202642985
MSTRG.583	23.0271353220507	1.94512028651817	0.404054802518382	4.81400115626561	1.47937950428694e-06	0.000262585202642985
MSTRG.933	26.7406336083551	-1.84616509916182	0.41207870018031	-4.48012745709498	7.45984789104588e-06	0.000959123300277327
MSTRG.506	622.329986501652	0.928084671925839	0.210602826360273	4.40680064919066	1.04908657927807e-05	0.00118022240168783
MSTRG.230	46.3856018756824	1.25674858592125	0.288090679305928	4.36233684806822	1.28680541551458e-05	0.00128680541551458
MSTRG.822	287.802876439156	0.545326858585293	0.135423391442478	4.02682913768944	5.65340829951453e-05	0.00508806746956308
MSTRG.410	2547.85029540168	-0.293292929308699	0.0762483590517353	-3.84654742680687	0.00011979395104953	0.00980132326768884
MSTRG.425	145.27740322165	0.993837833174144	0.262716801341899	3.78292453355797	0.000154996419290533	0.0107305213354984
MSTRG.858	398.414440316328	-0.456340854807889	0.120260022141202	-3.79461808407187	0.000147870893992365	0.0107305213354984
MSTRG.836	4948.20652238599	1.53640040042094	0.409634267495451	3.75066375626889	0.000176367077303477	0.0110739767368026
MSTRG.708	37.9032132760168	1.23905205658534	0.331363329838275	3.73925520723754	0.00018456627894671	0.0110739767368026
MSTRG.767	13.5467827157812	1.54100497563107	0.414046061627949	3.72182015105308	0.000197791884131427	0.0111257934823928
MSTRG.501	1115.39080361124	1.19620666715892	0.324899962448619	3.6817691764064	0.00023162106940915	0.0115810534704575
MSTRG.928	734.587453442397	-1.50612252140058	0.407734910142855	-3.69387679086122	0.000220860846661418	0.0115810534704575
MSTRG.963	409.973426405662	-0.428082539526875	0.117428210243317	-3.64548296052427	0.000266890099648124	0.0120100544841656
MSTRG.764	20.57112358914	1.48151988091271	0.406164078542299	3.64758962986043	0.000264711982280408	0.0120100544841656
MSTRG.824	14.6752263957867	1.49368028453943	0.413867135770055	3.60908164829333	0.000307282892000819	0.0131692668000351
MSTRG.443	115.955813333291	0.526792916652432	0.146677644112797	3.59150107597393	0.000328778818886421	0.0134500425908081
MSTRG.731	301.351429324373	0.773416865136291	0.217697786789129	3.55270890229791	0.000381286140223753	0.0149198924435382
MSTRG.976	2268.98175334833	0.415250557337878	0.117365133172826	3.53810834710509	0.000403004654471682	0.0151126745426881
MSTRG.303	1213.92562146497	0.467284974022129	0.132922172948797	3.51547799479725	0.000438963135927568	0.0158026728933924
MSTRG.221	11599.231383419	0.957289430805842	0.274549536499295	3.48676396621161	0.000488902641071972	0.0169235529601837
MSTRG.513	20.2223862350603	1.17810701376609	0.345093640149616	3.41387634166575	0.000640456372713324	0.0213485457571108
MSTRG.566	6821.91001769277	0.589246438651604	0.173428944582022	3.39762454342172	0.000679736396588056	0.0218486698903304
MSTRG.1062	177.760394266898	1.12836692787828	0.334167907528409	3.37664659728688	0.000733752594453255	0.0227716322416528
MSTRG.772	44.6987814637404	1.32529028482636	0.393834928344574	3.36509077647588	0.000765184799580933	0.022955543987428
MSTRG.224	55.7313703691157	1.0152099694356	0.302627158905715	3.35465585146602	0.000794637765538908	0.023070128676936
MSTRG.508	585.873959453984	-0.442267253779076	0.132820976318031	-3.32979975030522	0.000869084628777972	0.0244430051843805
MSTRG.104	2754.40305769974	-0.362282469750733	0.109254621963141	-3.3159463942217	0.000913333462447253	0.0249090944303796
MSTRG.803	5.87353701918559	-1.29788272305535	0.393973344797107	-3.2943414578561	0.000986525787213848	0.0261139178968372
MSTRG.514	20.7315815941591	1.12502422446554	0.342929586662538	3.28062747637062	0.0010357644713875	0.0266339435499644
MSTRG.304	82.3622422267868	0.623982517586253	0.193982302600979	3.21669816895505	0.00129674943585291	0.0315425538450709
NM_212559	13.6702163874741	1.32460613836426	0.411128605211053	3.22187782989285	0.00127353425573056	0.0315425538450709
MSTRG.837	33.799878607001	-1.31546578195535	0.412396476834132	-3.18980848734175	0.00142367103821863	0.0337185245893886
MSTRG.227	2005.65387210951	0.389997410690331	0.122590535399984	3.18130114545843	0.00146615137520611	0.0338342625047563
MSTRG.756	7.49121285036554	1.2911919684668	0.411000762382348	3.14158047051412	0.00168038624791876	0.0368865273933386
MSTRG.672	102.725899191641	0.732055268296526	0.232509393658604	3.14849760165565	0.0016411206999856	0.0368865273933386
MSTRG.667	55.1906640835166	1.22387222355102	0.391016002995524	3.12997988362391	0.00174818274215757	0.0374610587605193
MSTRG.401	154.977392868601	-0.63527815797684	0.205178164146315	-3.09622693340708	0.00196000295313734	0.0410233176238048
MSTRG.34	153.848491107679	0.671772502980077	0.218891552241468	3.0689740928833	0.00214795217243007	0.0439353853451606
MSTRG.417	19.2811646085023	-0.899887040893444	0.297150395258616	-3.02838917683503	0.002458612363702	0.0486527182921858
MSTRG.787	90.7503066637085	-0.538732189829123	0.17809588700447	-3.02495581953334	0.0024866944904895	0.0486527182921858
MSTRG.805	1627.60023861794	-0.322279381124607	0.106873120413762	-3.01553262295415	0.00256528341409677	0.0491224483550446
MSTRG.892	35.7626473435149	1.09589658581487	0.365770255837856	2.99613368863071	0.00273426530623294	0.0512674744918677
MSTRG.1034	1264.29946854837	-0.553078384817784	0.187734468296574	-2.94606733561605	0.00321842329028949	0.0591138971685824
MSTRG.1045	2011.93495200969	-0.343148233891759	0.116726349842295	-2.939766679549	0.00328459480683854	0.0591227065230938
MSTRG.402	91.3093650438949	-0.679543067043764	0.231744701392392	-2.93229171135678	0.00336470537744382	0.0593771537195969
MSTRG.1033	7212.46483573717	-0.265269337099036	0.0913456348056534	-2.90401766503043	0.00368407372901395	0.063762814540626
MSTRG.720	4.81288646983578	-1.15800763560185	0.400630333034827	-2.89046420132442	0.00384673340572982	0.0653218880218271
MSTRG.970	2836.77251376852	-0.305549012766256	0.106276264780223	-2.87504470916555	0.00403970290741937	0.066997031314348
MSTRG.215	3185.65600228916	-0.977764391041175	0.340588769680976	-2.87080631565459	0.00409426302476571	0.066997031314348
MSTRG.779	122.627553047526	1.05030100808484	0.371010115678851	2.83092283390457	0.00464139173362562	0.0745937957189831
MSTRG.206	1225.02084320414	-0.485112865356766	0.172405248213788	-2.81379407171649	0.00489605814791332	0.076963371212187
MSTRG.577	45.5873419669229	-0.79340236057754	0.283489689505346	-2.79869917654475	0.0051308914141458	0.076963371212187
MSTRG.632	66.4134099631237	1.14472148007591	0.408704200464345	2.80085567697945	0.0050967307377183	0.076963371212187
MSTRG.1021	656.945865362145	-0.485755114050326	0.17337263886586	-2.80179800704401	0.0050818681306929	0.076963371212187
MSTRG.825	11.4096027562117	1.11933764848779	0.400948115540294	2.79172692202192	0.00524275815672319	0.077352169525424
MSTRG.158	6.81139933408668	-1.15249233684939	0.414152341472304	-2.78277392505449	0.00538963470170997	0.0775926822350878
MSTRG.713	492.026579171628	-0.385632403192	0.13870356613644	-2.78026307422162	0.00543148775645615	0.0775926822350878
MSTRG.63	33.0940907570224	0.83006731371065	0.301258491568498	2.75533250328951	0.00586325165484888	0.0776173689843899
MSTRG.571	16.6531195974487	-0.933817176009509	0.339943106614447	-2.74698076778069	0.00601466613276673	0.0776173689843899
MSTRG.280	266.536058530734	-1.0271798123556	0.373058077119018	-2.75340456447991	0.00589789630767406	0.0776173689843899
MSTRG.856	1045.89244043005	0.463473096950071	0.168795307843796	2.74577002684797	0.00603690647656366	0.0776173689843899
MSTRG.1048	796.077623679447	-0.920678746068461	0.33429072437622	-2.75412591176865	0.00588491230554064	0.0776173689843899
MSTRG.1059	734.214409712947	0.363709702041859	0.132004720184532	2.75527800470636	0.005864228457962	0.0776173689843899
MSTRG.737	5845.67194002594	0.412186329685588	0.148935864177294	2.76754247180464	0.00564806855499919	0.0776173689843899
MSTRG.627	50.0286816352554	0.565559520424313	0.206809995998478	2.73468174347082	0.00624406147929389	0.0791500750896409
MSTRG.368	162.639297177003	-0.822547649836007	0.303625445616158	-2.70908667805092	0.00674687109106765	0.0840450474369818
MSTRG.793	54.2391925755646	-0.674493417788133	0.249290272619252	-2.70565478027418	0.00681698718099963	0.0840450474369818
MSTRG.980	120.15893012383	0.89620609631056	0.332002295798935	2.69939728625646	0.00694651951311504	0.0844846967811288
MSTRG.567	1479.57627598993	-0.410743225349599	0.152708877567895	-2.68971412724176	0.00715132513622438	0.0858159016346926
MSTRG.19	11.7978258957691	-1.01944944104432	0.383095000718669	-2.66108782190288	0.00778886387144589	0.0922365458460697
MSTRG.337	3764.51748699806	0.353882509290197	0.13406373299924	2.63965877551839	0.00829895387531806	0.0957571600998237
