transcript_id,ERR188044,ERR188104,ERR188234,ERR188245,ERR188257,ERR188273,ERR188337,ERR188383,ERR188401,ERR188428,ERR188454,ERR204916
MSTRG.961.1,4,10,3,2,5,0,6,3,8,3,1,3
MSTRG.178.1,72214,86475,92907,53238,47344,32533,40919,81484,69141,40066,69261,75567
NM_001143981,18,0,12,0,12,0,35,10,0,16,0,0
NM_001143982,0,0,0,0,0,0,0,0,0,0,0,0
NM_001143983,0,0,0,0,0,0,0,0,0,0,0,0
NM_001415,18570,22298,30839,22453,17608,12523,27290,16403,25980,18900,16182,23443
MSTRG.109.1,913,1364,1016,843,919,439,1656,962,1434,808,752,867
NR_045044,1,1,0,4,2,172,5,3,10,4,0,2
MSTRG.109.4,18,48,23,0,0,0,13,66,51,16,1,16
NM_017848,339,14,487,0,11,217,686,0,427,214,18,7
NM_007309,0,0,0,0,0,0,0,0,0,0,0,28
NM_001272102,13,0,0,0,0,0,12,6,0,0,0,21
NM_001866,6044,6311,6463,5483,5492,2548,6445,6941,8390,3636,4439,4484
MSTRG.955.2,0,0,122,0,0,0,0,0,0,0,0,233
NM_001291540_dup1,0,0,0,0,0,0,0,0,0,0,0,0
NM_201599,3639,2061,4378,1363,154,1424,1838,1325,385,1761,163,1894
NM_001291540_dup2,0,0,10,0,17,0,0,0,19,7,69,0
NM_001170701,0,0,0,0,0,0,0,0,0,0,0,0
NM_001170702,0,0,0,0,0,0,0,0,0,0,0,0
NM_001170703,0,0,0,0,0,0,1,0,0,0,0,0
NM_001170704,0,0,4,0,0,0,0,0,0,0,0,0
MSTRG.107.1,0,344,35,0,0,0,36,198,45,18,5,24
MSTRG.107.2,210,133,256,358,186,237,279,278,303,303,244,145
MSTRG.107.3,258,80,468,320,275,110,526,160,433,227,196,353
MSTRG.868.1,0,0,1447,0,0,0,153,0,0,0,0,0
NM_001300788,0,423,0,217,470,0,138,301,0,61,295,191
NM_205856,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.146.4,353,0,1037,607,924,0,954,887,576,0,688,807
NM_177537_dup1,11,8,0,0,0,0,0,0,0,0,0,0
MSTRG.146.3,197,309,957,234,113,610,698,123,1140,75,517,396
MSTRG.146.2,219,209,297,144,1,0,202,126,195,298,190,262
NM_001031705,0,0,0,0,0,0,0,0,0,0,0,0
NM_000330,0,0,2,2,2,2,0,0,2,0,5,10
MSTRG.467.1,0,12,13,0,5,0,15,8,10,0,0,13
NM_153834,0,0,0,0,0,0,0,0,0,0,0,0
NM_000489,331,30,155,34,3350,2,590,287,885,1374,0,536
NR_030785,0,0,0,0,0,0,0,0,0,0,0,0
NM_001272071,1,1,0,1,1,1,1,1,1,1,1,1
NM_017602,375,301,434,562,1184,94,691,772,792,765,496,677
MSTRG.210.2,111,103,49,0,0,61,285,69,359,82,88,0
NM_001099922,250,306,158,2,0,54,253,190,448,3,190,237
NM_001012968,969,1225,1180,611,816,467,1333,803,995,709,849,1066
